parameter,label,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
co2,avg,376.17,473.45,407.76,301.84,398.42,464.58,566.19,723.6,736.16,729.35,576.75,491.44
co2,median,378.6,464,431.3,304.8,392.4,467.55,565.83,714.12,704.93,707.4,562.75,488.1
co2,sd,22.771,62.171,86.138,39.341,43.756,72.747,68.356,114.628,127.676,155.512,74.795,49.412
co2,count,735,578,736,639,1461,1968,1802,2151,2699,2721,1575,1470
co2_corr,avg,597.42,693.34,582.51,379.56,455.41,455.42,495.98,594.42,618.45,687.99,655.97,660.34
co2_corr,median,603.23,684.37,619.19,383.01,451.42,460.3,494.31,584.83,606.46,657.86,649.95,660.58
co2_corr,sd,32.497,72.138,123.811,55.794,49.122,72.76,70.61,87.442,108.318,138.864,49.804,39.406
co2_corr,count,735,578,736,639,1461,1968,1796,2151,2698,2721,1575,1470
do,avg,405.84,399.88,401.33,402.06,378.21,345.81,331.59,305.09,284.74,289.47,313.97,344.18
do,median,406.86,400.02,401.79,404.42,377.87,347.11,329.22,310.06,292.24,300.29,315.06,338.6
do,sd,3.565,6.254,4.986,11.957,18.794,20.538,24.296,27.3,37.084,32.222,16.944,26.562
do,count,175,534,376,687,2218,2072,1464,2161,2732,2660,1975,1488
omega_a,avg,NaN,NaN,NaN,1.91,1.99,1.61,1.76,1.71,1.51,1.64,0.61,NaN
omega_a,median,NA,NA,NA,1.91,1.97,1.67,1.83,1.79,1.44,1.61,0.58,NA
omega_a,sd,NA,NA,NA,0.094,0.164,0.365,0.29,0.547,0.37,0.58,0.216,NA
omega_a,count,0,0,0,174,725,1030,1322,1112,1047,1542,158,0
ph,avg,8.01,NaN,NaN,8.17,8.12,8.01,7.93,7.86,7.82,7.86,7.85,8.01
ph,median,8.01,NA,NA,8.15,8.11,8.02,7.93,7.88,7.82,7.88,7.88,8.01
ph,sd,0.02,NA,NA,0.042,0.041,0.081,0.052,0.08,0.07,0.071,0.082,0.025
ph,count,449,0,0,249,1476,1763,2210,1838,1680,1850,753,561
