DateTime, Date, Time, Water Level, Sigma
2015-01-01 01:12,2015-01-01,01:12,-1.421,L 
2015-01-01 07:30,2015-01-01,07:30,1.426,HH
2015-01-01 14:00,2015-01-01,14:00,-1.676,LL
2015-01-01 20:12,2015-01-01,20:12,1.103,H 
2015-01-02 02:24,2015-01-02,02:24,-1.553,L 
2015-01-02 08:36,2015-01-02,08:36,1.423,HH
2015-01-02 15:06,2015-01-02,15:06,-1.827,LL
2015-01-02 21:06,2015-01-02,21:06,0.842,H 
2015-01-03 03:12,2015-01-03,03:12,-1.681,L 
2015-01-03 09:30,2015-01-03,09:30,1.333,HH
2015-01-03 15:36,2015-01-03,15:36,-1.781,LL
2015-01-03 22:06,2015-01-03,22:06,1.216,H 
2015-01-04 03:54,2015-01-04,03:54,-1.204,L 
2015-01-04 10:18,2015-01-04,10:18,1.614,HH
2015-01-04 16:18,2015-01-04,16:18,-1.535,LL
2015-01-04 23:00,2015-01-04,23:00,1.328,HH
2015-01-05 04:36,2015-01-05,04:36,-1.660,L 
2015-01-05 10:18,2015-01-05,10:18,1.239,H 
2015-01-05 17:24,2015-01-05,17:24,-2.079,LL
2015-01-05 23:42,2015-01-05,23:42,0.618,H 
2015-01-06 05:12,2015-01-06,05:12,-1.743,LL
2015-01-06 11:42,2015-01-06,11:42,1.214,HH
2015-01-06 17:54,2015-01-06,17:54,-1.713,L 
2015-01-06 23:54,2015-01-06,23:54,1.108,H 
2015-01-07 06:00,2015-01-07,06:00,-1.308,L 
2015-01-07 12:12,2015-01-07,12:12,1.533,HH
2015-01-07 18:42,2015-01-07,18:42,-1.673,LL
2015-01-08 00:48,2015-01-08,00:48,1.021,H 
2015-01-08 06:48,2015-01-08,06:48,-1.437,L 
2015-01-08 12:54,2015-01-08,12:54,1.257,HH
2015-01-08 19:12,2015-01-08,19:12,-1.591,LL
2015-01-09 01:30,2015-01-09,01:30,1.079,HH
2015-01-09 07:24,2015-01-09,07:24,-1.417,L 
2015-01-09 13:24,2015-01-09,13:24,1.057,H 
2015-01-09 19:54,2015-01-09,19:54,-1.661,LL
2015-01-10 02:00,2015-01-10,02:00,0.950,H 
2015-01-10 08:06,2015-01-10,08:06,-1.433,L 
2015-01-10 14:24,2015-01-10,14:24,0.973,HH
2015-01-10 20:18,2015-01-10,20:18,-1.496,LL
2015-01-11 02:48,2015-01-11,02:48,0.782,H 
2015-01-11 08:42,2015-01-11,08:42,-1.468,L 
2015-01-11 14:54,2015-01-11,14:54,0.907,HH
2015-01-11 21:12,2015-01-11,21:12,-1.518,LL
2015-01-12 03:36,2015-01-12,03:36,0.856,HH
2015-01-12 09:36,2015-01-12,09:36,-1.411,LL
2015-01-12 15:54,2015-01-12,15:54,0.839,H 
2015-01-12 22:06,2015-01-12,22:06,-1.347,L 
2015-01-13 04:06,2015-01-13,04:06,0.903,HH
2015-01-13 10:18,2015-01-13,10:18,-1.276,L 
2015-01-13 16:30,2015-01-13,16:30,0.803,H 
2015-01-13 22:54,2015-01-13,22:54,-1.339,LL
2015-01-14 05:06,2015-01-14,05:06,1.022,HH
2015-01-14 11:36,2015-01-14,11:36,-1.264,LL
2015-01-14 17:36,2015-01-14,17:36,0.774,H 
2015-01-14 23:36,2015-01-14,23:36,-1.179,L 
2015-01-15 06:18,2015-01-15,06:18,1.149,HH
2015-01-15 12:18,2015-01-15,12:18,-1.159,LL
2015-01-15 18:30,2015-01-15,18:30,0.995,H 
2015-01-16 00:36,2015-01-16,00:36,-1.067,L 
2015-01-16 06:54,2015-01-16,06:54,1.315,HH
2015-01-16 13:42,2015-01-16,13:42,-1.376,L 
2015-01-16 19:24,2015-01-16,19:24,0.730,H 
2015-01-17 01:30,2015-01-17,01:30,-1.455,LL
2015-01-17 07:48,2015-01-17,07:48,1.190,HH
2015-01-17 14:18,2015-01-17,14:18,-1.686,LL
2015-01-17 20:30,2015-01-17,20:30,0.967,H 
2015-01-18 02:24,2015-01-18,02:24,-1.502,L 
2015-01-18 08:54,2015-01-18,08:54,1.542,HH
2015-01-18 15:06,2015-01-18,15:06,-1.717,LL
2015-01-18 21:24,2015-01-18,21:24,1.423,H 
2015-01-19 03:18,2015-01-19,03:18,-1.363,L 
2015-01-19 09:42,2015-01-19,09:42,1.811,HH
2015-01-19 15:48,2015-01-19,15:48,-1.900,LL
2015-01-19 22:06,2015-01-19,22:06,1.330,H 
2015-01-20 04:06,2015-01-20,04:06,-1.803,L 
2015-01-20 10:24,2015-01-20,10:24,1.770,HH
2015-01-20 16:42,2015-01-20,16:42,-2.133,LL
2015-01-20 23:00,2015-01-20,23:00,1.339,H 
2015-01-21 04:54,2015-01-21,04:54,-1.957,L 
2015-01-21 11:12,2015-01-21,11:12,1.838,HH
2015-01-21 17:30,2015-01-21,17:30,-2.111,LL
2015-01-21 23:42,2015-01-21,23:42,1.662,H 
2015-01-22 05:48,2015-01-22,05:48,-1.900,L 
2015-01-22 12:06,2015-01-22,12:06,2.022,HH
2015-01-22 18:24,2015-01-22,18:24,-2.117,LL
2015-01-23 00:42,2015-01-23,00:42,1.648,H 
2015-01-23 06:42,2015-01-23,06:42,-1.930,L 
2015-01-23 12:54,2015-01-23,12:54,1.839,HH
2015-01-23 19:12,2015-01-23,19:12,-2.115,LL
2015-01-24 01:24,2015-01-24,01:24,1.634,H 
2015-01-24 07:36,2015-01-24,07:36,-1.919,L 
2015-01-24 14:00,2015-01-24,14:00,1.912,HH
2015-01-24 20:12,2015-01-24,20:12,-1.708,L 
2015-01-25 02:06,2015-01-25,02:06,1.758,H 
2015-01-25 08:30,2015-01-25,08:30,-1.784,LL
2015-01-25 14:36,2015-01-25,14:36,1.261,H 
2015-01-25 21:00,2015-01-25,21:00,-2.053,LL
2015-01-26 03:24,2015-01-26,03:24,1.424,HH
2015-01-26 09:36,2015-01-26,09:36,-1.654,L 
